iter,minutes,agent_steps,sps,episodes,ep_len_s,draw_rate,hits_per_ep,pool_win,pool_loss,entropy,pg_loss,v_loss,kl,clipfrac,rule_win,rule_loss,rule_dodge,random_win,random_loss,random_dodge,lateral,strafer_win,strafer_loss,strafer_dodge,v1_win,v1_loss,v1_dodge
119,8.013,15597568,66034,42,26.38,0.0,8.1,0.714,0.286,2.756,-0.0027,0.0672,0.0059,0.06,,,,,,,,,,,,,
120,8.047,15728640,64193,35,29.44,0.114,7.74,0.636,0.182,2.76,-0.0025,0.0712,0.0067,0.078,,,,,,,,,,,,,
121,8.083,15859712,60405,38,37.22,0.237,7.29,0.8,0.2,2.771,-0.0031,0.0711,0.0061,0.064,,,,,,,,,,,,,
122,8.116,15990784,66524,49,33.75,0.204,6.63,0.6,0.4,2.764,-0.0026,0.0905,0.0064,0.071,,,,,,,,,,,,,
123,8.149,16121856,66019,41,28.98,0.098,7.8,0.636,0.364,2.767,-0.0023,0.0769,0.0064,0.071,,,,,,,,,,,,,
124,8.183,16252928,64242,48,30.14,0.104,8.12,0.444,0.5,2.784,-0.0024,0.0915,0.0059,0.069,,,,,,,,,,,,,
125,8.22,16384000,60111,38,26.5,0.053,7.42,0.5,0.5,2.788,-0.0032,0.0605,0.0063,0.072,,,,,,,,,,,,,
126,8.267,16515072,45982,41,27.36,0.049,7.88,0.5,0.5,2.784,-0.0029,0.0792,0.0068,0.07,,,,,,,,,,,,,
127,8.304,16646144,59385,40,27.6,0.1,8.18,0.6,0.4,2.781,-0.0025,0.0835,0.0061,0.071,,,,,,,,,,,,,
128,8.338,16777216,63562,41,28.36,0.049,7.63,0.625,0.375,2.776,-0.0029,0.0816,0.006,0.067,,,,,,,,,,,,,
129,8.371,16908288,65995,36,22.18,0.056,7.92,0.625,0.375,2.78,-0.0026,0.0708,0.0062,0.067,,,,,,,,,,,,,
130,8.409,17039360,58808,31,27.49,0.032,7.74,0.5,0.5,2.786,-0.0033,0.0627,0.0058,0.068,,,,,,,,,,,,,
131,8.442,17170432,66161,45,25.78,0.022,7.8,0.625,0.375,2.774,-0.003,0.0945,0.0064,0.075,,,,,,,,,,,,,
132,8.479,17301504,58244,43,29.04,0.07,7.84,0.571,0.286,2.767,-0.0028,0.091,0.0066,0.068,,,,,,,,,,,,,
133,8.514,17432576,61876,38,29.65,0.132,7.92,0.8,0.2,2.769,-0.0024,0.0689,0.0062,0.07,,,,,,,,,,,,,
134,8.546,17563648,68573,46,25.21,0.087,8.13,0.636,0.364,2.782,-0.0025,0.0831,0.0063,0.068,,,,,,,,,,,,,
135,8.578,17694720,69888,24,30.16,0.167,7.58,0.556,0.222,2.792,-0.0025,0.0518,0.0058,0.063,,,,,,,,,,,,,
136,8.61,17825792,68510,31,26.59,0.032,7.81,0.25,0.5,2.771,-0.0028,0.0704,0.0067,0.071,,,,,,,,,,,,,
137,8.646,17956864,60228,44,26.35,0.045,7.84,0.864,0.136,2.758,-0.003,0.0718,0.0058,0.066,,,,,,,,,,,,,
138,8.681,18087936,62562,49,25.4,0.102,7.57,0.833,0.111,2.749,-0.0031,0.097,0.0065,0.078,,,,,,,,,,,,,
139,8.716,18219008,62670,42,27.92,0.095,7.45,0.778,0.111,2.764,-0.0033,0.0763,0.0062,0.074,,,,,,,,,,,,,
140,8.748,18350080,66751,35,27.46,0.029,8.09,0.875,0.125,2.772,-0.0032,0.0883,0.0065,0.075,,,,,,,,,,,,,
141,8.78,18481152,68510,28,26.31,0.036,7.68,0.75,0.25,2.755,-0.0028,0.093,0.0062,0.075,,,,,,,,,,,,,
142,8.815,18612224,62254,29,26.21,0.103,7.03,0.75,0.25,2.775,-0.0025,0.0554,0.008,0.09,,,,,,,,,,,,,
143,8.848,18743296,66807,42,26.28,0.048,7.64,0.917,0.083,2.759,-0.0029,0.0686,0.0056,0.067,,,,,,,,,,,,,
144,8.887,18874368,56733,41,27.72,0.195,7.44,0.688,0.188,2.773,-0.0027,0.0725,0.0062,0.069,,,,,,,,,,,,,
145,8.92,19005440,65680,33,32.1,0.152,6.88,0.375,0.625,2.776,-0.0029,0.0618,0.0066,0.079,,,,,,,,,,,,,
146,8.951,19136512,70179,19,33.55,0.105,7.26,0.8,0.2,2.784,-0.0027,0.0413,0.0054,0.059,,,,,,,,,,,,,
147,8.982,19267584,69485,39,34.04,0.231,6.56,0.625,0.25,2.775,-0.0027,0.0571,0.0073,0.083,,,,,,,,,,,,,
148,9.015,19398656,66741,31,33.63,0.097,7.29,0.857,0.143,2.797,-0.0032,0.0567,0.0063,0.073,,,,,,,,,,,,,
149,9.047,19529728,67970,21,25.8,0.19,7.62,0.857,0.143,2.776,-0.0025,0.0582,0.0055,0.067,,,,,,,,,,,,,
150,10.615,19660800,69157,30,33.49,0.133,7.93,0.571,0.286,2.759,-0.0031,0.0649,0.0061,0.071,0.955,0.005,0.723,,,,0.752,0.915,0.045,0.783,0.735,0.135,0.903
151,10.658,19791872,51624,34,36.67,0.206,7.32,0.909,0.091,2.742,-0.0022,0.0614,0.0057,0.066,,,,,,,,,,,,,
152,10.697,19922944,55214,43,29.92,0.07,7.81,0.8,0.2,2.772,-0.0026,0.0794,0.0068,0.079,,,,,,,,,,,,,
